Date,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS
3/20/2024,5,0,2,0,0,0,1,0,0,0,1,0,0.4,0.4,0.4,0.8
3/21/2024,5,1,1,0,0,0,1,0,0,0,0,0,0.3,0.273,0.3,0.573
3/28/2024,3,1,2,1,0,0,0,1,0,1,0,0,0.385,0.4,0.462,0.862
3/29/2024,4,0,0,0,0,0,0,0,0,1,0,0,0.294,0.316,0.353,0.669
3/30/2024,5,1,1,0,0,0,0,1,0,2,0,0,0.273,0.32,0.318,0.638
3/31/2024,4,1,1,1,0,0,0,0,0,2,0,0,0.269,0.31,0.346,0.656
4/1/2024,4,1,1,1,0,0,1,0,0,1,0,0,0.267,0.303,0.367,0.67
4/2/2024,3,0,0,0,0,0,0,1,0,1,0,0,0.242,0.297,0.333,0.631
4/3/2024,4,2,2,0,0,1,1,0,0,1,0,0,0.27,0.317,0.432,0.75
4/5/2024,5,2,2,1,0,1,2,0,0,0,0,0,0.286,0.326,0.524,0.85
4/6/2024,4,1,2,0,0,0,0,1,0,1,0,0,0.304,0.353,0.522,0.875
4/7/2024,4,0,2,1,1,0,1,0,0,1,0,0,0.32,0.364,0.58,0.944
4/8/2024,5,2,3,2,0,1,1,0,0,1,0,0,0.345,0.383,0.673,1.056
4/9/2024,5,0,1,1,0,0,0,0,0,2,0,0,0.333,0.369,0.65,1.019
4/10/2024,3,0,1,0,0,0,0,1,0,0,0,0,0.333,0.377,0.635,1.012
4/12/2024,5,1,3,2,0,1,1,0,0,0,0,0,0.353,0.392,0.706,1.098
4/13/2024,2,0,0,0,0,0,1,2,0,0,1,0,0.343,0.392,0.686,1.078
4/14/2024,4,0,1,0,0,0,0,0,0,2,0,0,0.338,0.386,0.662,1.048
4/15/2024,3,2,1,0,0,0,0,0,0,1,1,0,0.338,0.384,0.649,1.033
4/16/2024,5,0,2,0,0,0,0,0,0,0,0,0,0.341,0.385,0.634,1.019
4/17/2024,4,0,3,0,0,0,0,0,0,0,1,0,0.36,0.4,0.64,1.04
4/19/2024,4,1,1,0,0,0,1,1,0,1,1,0,0.356,0.4,0.622,1.022
